ZIP_CODE,LATITUDE,LONGITUDE,CITY,STATE,COUNTRY
502107,11.6762,72.6868,Hyderabad,TELANGANA,INDIA
502256,11.8332,72.8438,Hyderabad,TELANGANA,INDIA
504220,11.5252,72.5358,Hyderabad,TELANGANA,INDIA
505466,11.5772,72.5878,Hyderabad,TELANGANA,INDIA
508254,11.6902,72.7008,Hyderabad,TELANGANA,INDIA
506142,11.5632,72.5738,Hyderabad,TELANGANA,INDIA
502316,11.8492,72.8598,Hyderabad,TELANGANA,INDIA
500022,11.9592,72.9698,Hyderabad City,TELANGANA,INDIA
503301,11.7362,72.7468,Hyderabad,TELANGANA,INDIA
502335,11.6792,72.6898,Hyderabad,TELANGANA,INDIA
508247,11.8712,72.8818,Hyderabad,TELANGANA,INDIA
505471,11.7992,72.8098,Hyderabad,TELANGANA,INDIA
502271,11.8352,72.8458,Hyderabad,TELANGANA,INDIA
506314,11.9472,72.9578,Hyderabad,TELANGANA,INDIA
505303,11.5962,72.6068,Hyderabad,TELANGANA,INDIA
503223,11.7282,72.7388,Hyderabad,TELANGANA,INDIA
502372,11.6822,72.6928,Hyderabad,TELANGANA,INDIA
508280,11.8632,72.8738,Hyderabad,TELANGANA,INDIA
509311,11.6432,72.6538,Hyderabad,TELANGANA,INDIA
503186,11.7342,72.7448,Hyderabad,TELANGANA,INDIA
503310,11.7382,72.7488,Hyderabad,TELANGANA,INDIA
509126,11.6412,72.6518,Hyderabad,TELANGANA,INDIA
509401,11.8882,72.8988,Hyderabad,TELANGANA,INDIA
509216,11.9032,72.9138,Hyderabad,TELANGANA,INDIA
508117,11.6942,72.7048,Hyderabad,TELANGANA,INDIA
505469,11.5852,72.5958,Hyderabad,TELANGANA,INDIA
508252,11.7142,72.7248,Hyderabad,TELANGANA,INDIA
509207,11.8802,72.8908,Hyderabad,TELANGANA,INDIA
503322,11.7732,72.7838,Hyderabad,TELANGANA,INDIA
506317,11.9322,72.9428,Hyderabad,TELANGANA,INDIA
500019,11.9732,72.9838,Hyderabad City,TELANGANA,INDIA
504312,11.4922,72.5028,Hyderabad,TELANGANA,INDIA
509339,11.6332,72.6438,Hyderabad,TELANGANA,INDIA
508377,11.6922,72.7028,Hyderabad,TELANGANA,INDIA
508224,11.8652,72.8758,Hyderabad,TELANGANA,INDIA
504104,11.5162,72.5268,Hyderabad,TELANGANA,INDIA
502102,11.6712,72.6818,Hyderabad,TELANGANA,INDIA
505498,11.7942,72.8048,Hyderabad,TELANGANA,INDIA
509336,11.6242,72.6348,Hyderabad,TELANGANA,INDIA
502110,11.6862,72.6968,Hyderabad,TELANGANA,INDIA
506102,11.9222,72.9328,Hyderabad,TELANGANA,INDIA
504302,11.5102,72.5208,Hyderabad,TELANGANA,INDIA
506345,11.5462,72.5568,Hyderabad,TELANGANA,INDIA
502303,11.6852,72.6958,Hyderabad,TELANGANA,INDIA
505214,11.8122,72.8228,Hyderabad,TELANGANA,INDIA
509301,11.9172,72.9278,Hyderabad,TELANGANA,INDIA
506015,11.5472,72.5578,Hyderabad,TELANGANA,INDIA
503302,11.7222,72.7328,Hyderabad,TELANGANA,INDIA
506007,11.9212,72.9318,Hyderabad,TELANGANA,INDIA
500089,11.9742,72.9848,Hyderabad City,TELANGANA,INDIA
504105,11.5232,72.5338,Hyderabad,TELANGANA,INDIA
506391,11.5572,72.5678,Hyderabad,TELANGANA,INDIA
505451,11.6082,72.6188,Hyderabad,TELANGANA,INDIA
503114,11.7682,72.7788,Hyderabad,TELANGANA,INDIA
506310,11.9182,72.9288,Hyderabad,TELANGANA,INDIA
504293,11.4782,72.4888,Hyderabad,TELANGANA,INDIA
506348,11.5602,72.5708,Hyderabad,TELANGANA,INDIA
