review_id,order_id,customer_id,product_id,ratings,review_title,review_comment_message,review_creation_date,review_answer_time
RVW001,dc93ba4cf47339046ee8035efb73e2d4,43a23ff9af0c723b18ab653e17fb4e14,PRO001,3.0,Good Apples,The product is incredible in nature.... Just thanks for offering a nice deal for this product,2020-04-19 14:35:10,2020-04-23 14:35:10
RVW002,0eb43791d78d71f1098d5cb2b46e4c7b,eb102e24279347038b73f2da2e8d1bdf,PRO001,4.0,Fresh Apples,No 1 product...no doubt,2020-04-12 20:57:53,2020-04-13 20:57:53
RVW003,473028ba6e7cb38dbc82e11d85a3f743,cc5182b642198e3b0390fd6244faac1b,PRO001,2.0,Not so good,"This is not what I ordered, very poor",2020-04-30 02:32:18,2020-05-04 02:32:18
RVW004,473028ba6e7cb38dbc82e11d85a3f743,cc5182b642198e3b0390fd6244faac1b,PRO086,4.0,Must buy!,"What an amazing quality product at such a great price, would recommend 10/10..",2020-04-30 02:32:18,2020-05-04 02:32:18
RVW005,5cbaf38c240e82434c90a2148f37e94b,a20effc0e40fbad0f1f863c4fa049437,PRO002,5.0,Excellent Product,The product is incredible in nature.... Just thanks for offering a nice deal for this product,2020-03-15 00:22:04,2020-03-19 00:22:04
RVW006,5cbaf38c240e82434c90a2148f37e94b,a20effc0e40fbad0f1f863c4fa049437,PRO613,4.0,Really magical.. :),I got the prouduct with great deal. Nice packaging. Fast delivery,2020-03-11 00:22:04,2020-03-11 12:22:04
RVW007,b17656c0ce138e982f37560850a9bc5c,eef33d691ec940e4c72ff018c1ecfe99,PRO002,2.0,Average,Delivery was very late,2020-09-02 21:20:21,2020-09-04 21:20:21
RVW008,6a7a8e304ef95be2494384f8d2557845,216360d7df0e08d493f369b39a5fb69a,PRO002,4.0,Good taste,"Very good quality product, got a nice deal and was delivered on time.",2020-06-02 03:46:41,2020-06-06 03:46:41
RVW009,4e7d9b3083e78f30d7534bd2fc1c5f2d,9c49e901b9d95371916c3342a636e16c,PRO003,4.0,Great Product,packaging was great ... a budget deal.,2020-07-30 01:32:00,2020-08-02 01:32:00
RVW0010,4e7d9b3083e78f30d7534bd2fc1c5f2d,9c49e901b9d95371916c3342a636e16c,PRO564,1.0,Slightly disappointed,product is damage,2020-07-29 01:32:00,2020-08-02 01:32:00
RVW0011,2c84b2577e246ed9aa8ad68b0dee5be6,4d5d0a06d01ebc9cfeeefb7201a8d312,PRO003,1.0,Poor Quality,Delivery was very late,2020-12-06 07:12:10,2020-12-09 07:12:10
RVW0012,093cbde1b401404fd6dffc827e4b86e8,d226fa8846cd0fb905b59b9dcff9002d,PRO004,5.0,Yummy grapes,"Timely and safely delivered, nice job",2020-10-25 02:03:22,2020-10-27 02:03:22
RVW0013,e20aaa6862f849ed8fa3b602147e09ea,b009bf94e2d4da3b78ebd40d62fad36b,PRO004,4.0,Excellent Fruit,"What an amazing quality product at such a great price, would recommend 10/10..",2020-06-20 04:03:04,2020-06-21 04:03:04
RVW0014,b4ce0b4c7e26857f771d381adf9bb7de,90524e55a20cda4c520f6a6e893bda6f,PRO005,3.0,Just wow!,"Authentic product received , great price",2020-03-30 21:50:35,2020-03-31 21:50:35
RVW0015,8bf34e270470d172db01882f498e9162,3c2d8207d2ad37609ef4c2a840605ccb,PRO005,5.0,Super!,The product is incredible in nature.... Just thanks for offering a nice deal for this product,2020-12-21 03:15:23,2020-12-21 15:15:23
RVW0016,49f3e0aebd23234fa195ebbcb8687171,85191fae8e27da08a50395638532e838,PRO006,3.0,Wonderful,Excellent quality product very satisfied with the overall experience.,2020-09-28 20:47:33,2020-09-29 08:47:33
